t_iso,t_seconds,state,stack_V,stack_I,V_cell_1,V_cell_2,V_cell_3,V_cell_4,V_cell_5,flow_cell_1,flow_cell_2,flow_cell_3,flow_cell_4,flow_cell_5,pressure_CO2_inlet_bar,T_endplate_neg,T_endplate_pos,T_anolyte,T_humidifier,anolyte_pH,anolyte_level_pct,fe_co_pct,fe_h2_pct,spu_pct,alarm_state,abort_flag
2026-05-08T15:58:50,0.57,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,25.06,24.99,25.06,25.06,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,5.70,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,25.27,25.32,25.27,25.27,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,10.50,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,25.47,25.10,25.47,25.47,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,15.35,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,25.66,25.47,25.66,25.66,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,20.13,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,25.86,25.46,25.86,25.86,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,24.86,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.05,25.85,26.05,26.05,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,29.16,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.22,25.83,26.22,26.22,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,33.83,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.40,26.48,26.40,26.40,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,38.53,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.59,26.30,26.59,26.59,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,43.19,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.77,26.86,26.77,26.77,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,47.83,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,26.95,26.61,26.95,26.95,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,52.49,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,27.13,26.78,27.13,27.13,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,57.21,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,27.31,27.50,27.31,27.31,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,61.96,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,27.48,27.43,27.48,27.48,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,66.70,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,27.66,27.94,27.66,27.66,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,71.44,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,27.84,27.53,27.84,27.84,8.600,95.0,,,,OK,0
2026-05-08T15:58:50,76.12,heating,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,1.2000,28.01,27.91,28.01,28.01,8.600,95.0,,,,OK,0
